ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,vf,tf,vr,tr,gear,low,high,il,ir
1767880365353,0,0,0,0,0,0,4,2,4,4,0,0,0,0,3898,216,3901,214,0,0,0,0,0
1767880365387,0,0,0,0,0,0,14,18,4,6,0,0,0,0,3898,216,3898,214,0,0,0,0,0
1767880365517,0,0,0,0,0,0,-14,-20,2,6,0,0,0,0,3895,216,3898,214,0,0,0,0,0
1767880365647,0,0,0,0,0,0,-14,-16,2,6,0,0,0,0,3895,216,3895,214,0,0,0,0,0
1767880365748,0,0,0,0,0,0,14,20,4,4,0,0,0,0,3893,218,3895,214,0,0,0,0,0
1767880367175,0,0,0,0,0,0,4,2,2,6,0,0,0,0,3893,218,3893,214,0,0,0,0,0
1767880367182,0,0,0,0,0,0,2,2,2,6,0,0,0,0,3890,218,3893,214,0,0,0,0,0
1767880367190,0,0,0,0,0,0,-14,-16,2,6,0,0,0,0,3890,218,3890,216,0,0,0,0,0
1767880367195,0,0,0,0,0,0,14,22,4,4,0,0,0,0,3888,218,3890,216,0,0,0,0,0
1767880367204,0,0,0,0,0,0,2,0,2,6,0,0,0,0,3888,218,3888,216,0,0,0,0,0
1767880367210,0,0,0,0,0,0,4,2,4,4,0,0,0,0,3885,220,3888,216,0,0,0,0,0
1767880367221,0,0,0,0,0,0,-16,-14,4,4,0,0,0,0,3885,220,3888,216,0,0,0,0,0
1767880367227,0,0,0,0,0,0,4,2,4,6,0,0,0,0,3883,220,3885,218,0,0,0,0,0
1767880367233,0,0,0,0,0,0,4,2,2,4,0,0,0,0,3880,220,3885,218,0,0,0,0,0
1767880367239,0,0,0,0,0,0,12,16,2,6,0,0,0,0,3880,220,3883,218,0,0,0,0,0
1767880367245,0,0,0,0,0,0,-14,-20,4,6,0,0,0,0,3880,222,3883,218,0,0,0,0,0
1767880367252,0,0,0,0,0,0,4,2,4,6,0,0,-6,0,3878,222,3880,218,0,0,0,0,0
1767880367260,0,0,0,0,0,0,-10,-6,2,6,0,0,-6,0,3878,222,3880,218,0,0,0,0,0
1767880367266,0,0,0,0,0,0,2,2,4,8,0,0,6,0,3875,222,3878,218,0,0,0,0,0
1767880367272,0,0,0,0,0,0,2,0,6,6,0,0,6,0,3875,224,3878,218,0,0,0,0,0
1767880367308,0,0,0,0,0,0,16,30,6,6,0,0,0,0,3875,224,3878,218,0,0,0,0,0
1767880367408,0,0,0,0,0,0,8,8,4,6,0,0,0,0,3872,224,3875,218,0,0,0,0,0
1767880367509,0,0,0,0,0,0,-14,-18,4,8,0,0,0,0,3872,224,3875,218,0,0,0,0,0
1767880367612,0,0,0,0,0,0,-10,-18,4,6,0,0,0,0,3870,226,3872,220,0,0,0,0,0
1767880367714,0,0,0,0,0,0,2,20,2,6,0,0,0,0,3870,226,3872,220,0,0,0,0,0
1767880367814,0,0,0,0,0,0,-10,-8,4,6,0,0,0,0,3870,226,3872,220,0,0,0,0,0
1767880367913,0,0,0,0,0,0,-12,-18,4,6,0,0,0,0,3867,226,3870,220,0,0,0,0,0
1767880368015,0,0,0,0,0,0,2,0,2,6,0,0,0,0,3867,226,3870,220,0,0,0,0,0
1767880368116,0,0,0,0,0,0,4,2,4,6,0,0,0,0,3865,226,3870,220,0,0,0,0,0
1767880368216,0,0,0,0,0,0,2,2,6,6,0,0,0,0,3865,227,3867,220,0,0,0,0,0
1767880368317,0,0,0,0,0,0,-4,-10,2,8,0,0,0,0,3865,227,3867,220,0,0,0,0,0
