ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,vf,tf,vr,tr,gear,low,high,il,ir
1767880408921,0,0,0,0,0,0,-12,-16,2,6,0,0,5,0,3801,257,3798,247,-1,0,0,0,0
1767880409024,0,0,0,0,0,0,-12,-16,4,6,0,0,0,0,3801,257,3798,247,-1,0,0,0,0
1767880409125,0,0,0,0,0,0,-12,-16,2,6,0,0,0,0,3801,257,3798,249,-1,0,0,0,0
1767880409224,0,0,0,0,0,0,6,4,4,6,0,0,0,0,3801,257,3798,249,-1,0,0,0,0
1767880409325,0,0,0,0,0,0,6,4,2,4,0,0,0,0,3801,257,3798,249,-1,0,0,0,0
1767880409426,-384,0,0,0,0,0,6,2,4,6,0,0,0,0,3801,257,3798,251,-1,0,0,0,0
1767880409527,-936,0,0,0,0,0,6,4,4,4,0,0,0,0,3801,257,3798,251,-1,0,0,0,0
1767880409628,-1000,0,0,0,0,0,-12,-16,2,6,0,0,0,0,3801,257,3798,251,-1,0,0,0,0
1767880409730,-1000,0,0,0,0,0,16,24,2,6,0,0,0,0,3801,257,3798,251,-1,0,0,0,0
1767880409830,0,0,0,0,0,0,8,4,2,6,0,0,0,0,3801,257,3798,251,-1,0,0,0,0
1767880409931,0,0,0,0,0,0,6,4,4,6,0,0,0,0,3801,257,3798,251,-1,0,0,0,0
1767880410032,0,0,0,0,0,0,10,8,4,6,0,0,0,0,3801,257,3798,253,-1,0,0,0,0
1767880410133,0,0,0,0,0,0,6,2,2,6,0,0,0,0,3801,257,3796,253,-1,0,0,0,0
1767880410234,0,0,0,0,0,0,-6,-16,2,6,0,0,0,0,3801,257,3798,253,-1,0,0,0,0
1767880410335,0,0,0,0,0,0,10,6,4,6,0,0,0,0,3801,257,3796,253,-1,0,0,0,0
1767880410436,-330,0,0,0,0,0,-8,-16,2,4,0,0,0,0,3801,257,3798,253,-1,0,0,0,0
1767880410537,-458,0,0,0,0,0,6,2,4,6,0,0,0,0,3801,257,3796,253,-1,0,0,0,0
1767880410642,-186,0,0,0,0,0,10,8,0,6,0,0,0,0,3801,257,3798,253,-1,0,0,0,0
1767880410739,-736,0,0,0,0,0,4,2,2,4,0,0,0,0,3798,257,3796,253,-1,0,0,0,0
1767880410840,0,0,0,0,0,0,6,2,2,6,0,0,0,0,3798,257,3796,253,1,1,0,0,0
1767880410941,0,0,0,0,0,0,-12,-16,2,6,0,0,0,0,3798,257,3796,253,1,1,0,0,0
1767880411042,0,0,0,0,0,0,6,2,2,6,0,0,0,0,3798,257,3796,253,1,1,0,0,0
1767880411143,0,0,0,0,0,0,6,4,4,6,0,0,0,0,3798,257,3796,253,1,1,0,0,0
1767880411245,0,0,0,0,0,0,6,4,4,4,0,0,0,0,3798,257,3796,253,1,1,0,0,0
1767880411345,0,0,0,0,0,0,-12,-16,4,6,0,0,0,0,3798,257,3796,253,1,1,0,0,0
1767880411448,0,0,0,0,0,0,-6,-16,2,8,0,0,0,0,3798,259,3796,253,1,1,0,0,0
1767880411549,0,0,0,0,0,0,18,22,4,6,0,0,0,0,3798,259,3796,253,1,1,0,0,0
1767880411648,0,0,0,0,0,0,6,4,2,6,0,0,0,0,3798,259,3796,253,1,1,0,0,0
1767880411753,0,0,0,0,0,0,18,24,2,6,0,0,0,0,3798,259,3796,253,1,1,0,0,0
1767880411849,0,0,0,0,0,0,6,4,4,6,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880411957,0,0,0,0,0,0,8,4,2,4,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880412051,0,0,0,0,0,0,6,2,4,6,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880412153,0,0,0,0,0,0,-6,-14,4,6,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880412254,0,0,0,0,0,0,-12,-18,2,6,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880412355,0,0,0,0,0,0,10,6,4,6,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880412457,0,0,0,0,0,0,6,4,2,6,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880412557,0,0,0,0,0,0,-6,-14,4,6,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880412658,0,0,0,0,0,0,-12,-16,2,6,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880412761,0,0,0,0,0,0,6,2,4,6,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880412861,0,0,0,0,0,0,-12,-14,4,6,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880412961,0,0,0,0,0,0,-10,-18,4,4,0,0,0,0,3796,259,3796,253,1,1,0,0,0
1767880413062,0,0,0,0,0,0,6,4,2,6,0,0,0,0,3796,259,3796,255,1,1,0,0,0
1767880413162,0,0,0,0,0,0,8,4,2,6,0,0,0,0,3796,259,3796,255,1,1,0,0,0
1767880413264,0,0,0,0,0,0,6,4,2,6,0,0,0,0,3796,259,3796,255,1,1,0,0,0
1767880413365,0,0,0,0,0,0,-12,-16,2,4,0,0,0,0,3796,259,3796,255,1,1,0,0,0
1767880413466,84,0,24,24,26,26,18,22,2,6,0,0,0,0,3796,259,3796,255,1,1,0,0,0
1767880413566,750,0,135,135,300,300,12,12,2,6,0,0,0,0,3796,259,3796,255,1,1,0,0,0
1767880413668,996,0,179,179,300,300,6,0,16,18,0,6,0,0,3796,259,3796,255,1,1,0,0,0
1767880413769,998,0,179,179,300,300,-12,-16,26,28,18,19,16,24,3796,259,3796,255,1,1,0,0,0
1767880413870,1000,0,180,180,300,300,-8,-14,30,40,46,44,39,38,3796,259,3796,255,1,1,0,0,0
1767880413971,998,0,179,179,300,300,10,2,48,52,63,62,64,61,3796,259,3793,255,1,1,0,0,0
1767880414072,998,0,179,179,300,300,2,6,60,62,83,80,87,83,3793,259,3793,255,1,1,0,0,0
1767880414173,998,0,179,179,300,300,-8,-16,62,78,106,106,109,103,3793,259,3793,255,1,1,0,0,0
