ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,vf,tf,vr,tr,gear,low,high,il,ir
1767815672130,0,0,0,0,0,0,6,6,6,2,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815672165,0,0,0,0,0,0,-14,-14,4,4,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815672263,0,0,0,0,0,0,6,6,4,6,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815672365,0,0,0,0,0,0,-14,-12,2,4,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815672469,0,0,0,0,0,0,6,6,4,8,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815672568,0,0,0,0,0,0,16,28,4,6,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815672668,0,0,0,0,0,0,6,4,4,6,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815672774,0,0,0,0,0,0,6,4,4,6,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815672872,0,0,0,0,0,0,-8,-14,2,6,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815672972,0,0,0,0,0,0,6,6,8,4,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815673074,0,0,0,0,0,0,-6,-14,4,6,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815673176,0,0,0,0,0,0,6,6,6,6,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815673275,0,0,0,0,0,0,6,4,4,6,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815673375,0,0,0,0,0,0,-8,-12,2,6,0,0,0,0,3949,265,3962,261,0,0,0,0,0
1767815673481,0,0,0,0,0,0,6,6,4,6,0,0,0,0,3949,267,3962,263,0,0,0,0,0
1767815673579,0,0,0,0,0,0,-6,-14,4,6,0,0,0,0,3949,267,3962,263,0,0,0,0,0
1767815673683,0,0,0,0,0,0,6,6,2,6,0,0,0,0,3949,267,3962,263,0,0,0,0,0
1767815673781,0,0,0,0,0,0,6,6,2,6,0,0,0,0,3949,267,3962,263,0,0,0,0,0
1767815673881,0,0,0,0,0,0,-14,-14,6,0,0,0,0,0,3949,267,3962,263,0,0,0,0,0
1767815673985,0,0,0,0,0,0,6,6,22,-2,0,0,0,0,3949,267,3962,263,0,0,0,0,0
1767815674083,0,0,0,0,0,0,-10,-16,4,6,0,0,0,0,3949,267,3959,263,0,0,0,0,0
1767815674186,0,0,0,0,0,0,6,6,4,6,0,0,0,0,3949,267,3959,263,0,0,0,0,0
