ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,cmd_fl,cmd_fr,cmd_rl,cmd_rr,vf,tf,vr,tr,gear,low,high,il,ir
1769960925148,0,0,0,0,0,0,10,4,12,-4,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960925232,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960925330,0,0,0,0,0,0,10,4,4,-4,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960925462,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960925530,0,0,0,0,0,0,10,6,-2,0,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960925644,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960925738,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960925831,0,0,0,0,0,0,12,24,16,-4,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960925931,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960926033,0,0,0,0,0,0,10,4,0,2,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960926132,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960926237,0,0,0,0,0,0,20,28,0,2,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960926332,0,0,0,0,0,0,10,6,0,2,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960926430,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,3711,286,3699,276,1,1,0,0,0
1769960926542,-684,0,0,0,0,0,10,4,0,2,0,0,0,0,0,0,0,0,3711,286,3699,276,1,1,0,0,0
1769960926632,0,0,0,0,0,0,10,4,14,-4,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960926731,-582,0,0,0,0,0,22,26,0,0,0,0,0,0,0,0,0,0,3709,286,3699,276,1,1,0,0,0
1769960926841,0,0,0,0,0,0,10,4,0,-4,0,0,0,0,0,0,0,0,3709,286,3699,276,-1,0,0,0,0
1769960926958,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,3709,286,3699,276,-1,0,0,0,0
1769960927259,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,3709,286,3699,276,-1,0,0,0,0
1769960927266,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,3709,286,3699,276,-1,0,0,0,0
1769960927273,0,0,0,0,0,0,12,4,0,2,0,0,0,0,0,0,0,0,3709,286,3699,276,-1,0,0,0,0
1769960927330,0,0,0,0,0,0,22,26,10,-2,0,0,0,0,0,0,0,0,3709,286,3699,276,-1,0,0,0,0
1769960927434,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,3711,286,3699,276,-1,0,0,0,0
1769960927535,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,3711,286,3699,276,-1,0,0,0,0
1769960927633,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,3711,286,3699,276,-1,0,0,0,0
1769960927731,0,0,0,0,0,0,14,10,-2,2,0,0,0,0,0,0,0,0,3711,286,3699,276,-1,0,0,0,0
1769960927834,0,0,0,0,0,0,10,6,-2,2,0,0,0,0,0,0,0,0,3711,286,3699,276,-1,0,0,0,0
1769960927932,262,0,-27,-27,-38,-38,10,4,0,0,0,0,0,0,-21,-21,-16,-16,3709,286,3699,276,-1,0,0,0,0
1769960928041,340,0,-32,-32,-52,-52,-2,-14,8,-6,0,0,0,0,-30,-30,-47,-47,3709,286,3699,276,-1,0,0,0,0
1769960928131,376,0,-35,-35,-58,-58,20,40,-2,4,0,0,0,0,-36,-36,-61,-61,3709,286,3699,276,-1,0,0,0,0
1769960928240,370,0,-34,-34,-57,-57,-8,-14,2,2,-8,-7,0,0,-34,-34,-58,-58,3709,286,3699,276,-1,0,0,0,0
1769960928346,376,0,-35,-35,-58,-58,10,4,4,8,-12,-6,0,0,-35,-35,-59,-59,3709,286,3699,276,-1,0,0,0,0
1769960928430,376,0,-35,-35,-58,-58,-2,-12,4,2,-17,-17,-16,-31,-35,-35,-59,-59,3711,286,3699,278,-1,0,0,0,0
1769960928531,368,0,-34,-34,-57,-57,12,4,8,6,-16,-21,-20,-19,-35,-35,-61,-61,3711,286,3699,278,-1,0,0,0,0
1769960928637,360,0,-34,-34,-55,-55,12,6,20,-2,-29,-26,-27,-26,-34,-34,-55,-55,3711,286,3699,280,-1,0,0,0,0
1769960928733,324,0,-31,-31,-49,-49,10,20,16,6,-32,-31,-32,-34,-34,-34,-54,-54,3711,286,3699,280,-1,0,0,0,0
