ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,cmd_fl,cmd_fr,cmd_rl,cmd_rr,vf,tf,vr,tr,gear,low,high,il,ir
1769961015063,0,0,0,0,0,0,24,36,-2,0,0,0,0,0,0,0,0,0,3696,288,3688,286,1,1,0,0,0
1769961015133,0,0,0,0,0,0,-2,-14,-4,-6,0,0,0,0,0,0,0,0,3696,288,3688,286,1,1,0,0,0
1769961015235,0,0,0,0,0,0,-6,-12,-2,0,0,0,0,0,0,0,0,0,3696,288,3688,286,1,1,0,0,0
1769961015362,0,0,0,0,0,0,-4,-14,0,0,0,0,0,0,0,0,0,0,3696,288,3688,286,1,1,0,0,0
1769961015433,0,0,0,0,0,0,-6,-14,4,-10,0,0,0,0,0,0,0,0,3696,288,3688,286,1,1,0,0,0
1769961015534,0,0,0,0,0,0,10,4,0,-2,0,0,0,0,0,0,0,0,3696,288,3688,286,1,1,0,0,0
1769961015634,0,0,0,0,0,0,6,10,0,-2,0,0,0,0,0,0,0,0,3696,290,3688,286,1,1,0,0,0
1769961015734,0,0,0,0,0,0,2,-10,-2,-2,0,0,0,0,0,0,0,0,3696,290,3688,286,1,1,0,0,0
1769961015833,0,0,0,0,0,0,22,24,-4,-2,0,0,0,0,0,0,0,0,3696,288,3688,286,1,1,0,0,0
1769961015972,0,0,0,0,0,0,10,4,-2,-2,0,0,0,0,0,0,0,0,3696,290,3688,286,1,1,0,0,0
1769961016034,0,0,0,0,0,0,-2,-14,0,-2,0,0,0,0,0,0,0,0,3696,290,3688,286,1,1,0,0,0
1769961016135,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,3696,290,3688,286,1,1,0,0,0
1769961016241,576,0,44,44,99,99,-4,-14,0,0,0,0,0,0,0,0,0,0,3696,290,3688,286,1,1,0,0,0
1769961016334,998,0,74,74,174,174,10,6,14,-4,0,0,0,0,74,74,174,174,3696,290,3688,286,1,1,0,0,0
1769961016434,998,0,74,74,58,202,10,6,32,28,5,0,57,24,74,74,121,217,3696,290,3688,286,1,1,0,0,0
1769961016584,996,0,74,74,100,212,12,6,26,26,23,23,102,30,74,74,70,205,3696,288,3688,286,1,1,0,0,0
1769961016633,998,0,74,74,147,140,12,4,16,36,33,35,96,38,74,74,50,200,3699,290,3688,286,1,1,0,0,0
1769961016733,996,0,74,74,121,189,12,8,16,36,49,51,68,61,74,74,102,205,3699,290,3688,288,1,1,0,0,0
1769961016862,998,0,74,74,210,93,-10,-12,40,28,62,62,63,85,74,74,102,205,3699,290,3686,288,1,1,0,0,0
1769961016953,998,72,75,74,235,50,4,2,62,52,74,71,86,115,74,74,203,65,3696,290,3686,288,1,1,0,0,0
1769961017056,996,332,91,57,199,64,4,4,56,20,86,80,98,80,81,68,214,96,3696,288,3686,288,1,1,0,0,0
1769961017639,998,480,110,39,58,-47,0,-12,84,28,103,91,159,96,103,46,121,-5,3696,288,3683,288,1,1,0,0,0
1769961017646,996,524,116,32,73,-66,26,2,56,6,112,94,181,93,117,31,150,-49,3696,288,3683,288,1,1,0,0,0
1769961017651,996,510,58,90,120,-47,32,8,36,2,121,96,123,65,54,94,100,-51,3696,288,3683,288,1,1,0,0,0
1769961017660,996,498,112,36,250,-8,16,14,40,0,112,106,107,57,76,72,250,-13,3696,288,3683,288,1,1,0,0,0
1769961017673,998,354,94,55,50,15,18,2,78,4,107,101,156,93,106,43,85,-5,3696,288,3683,288,1,1,0,0,0
1769961017679,994,0,74,74,100,212,16,6,58,12,121,103,159,99,81,67,70,95,3694,288,3683,288,1,1,0,0,0
1769961017763,996,0,74,74,211,94,14,4,38,88,120,107,114,203,74,74,155,192,3694,288,3681,288,1,1,0,0,0
1769961017841,998,0,74,74,138,113,0,-16,64,86,122,127,158,175,74,74,210,91,3694,288,3681,288,1,1,0,0,0
1769961017933,996,-118,72,76,38,250,20,8,84,52,134,122,192,129,74,75,95,213,3694,290,3681,288,1,1,0,0,0
1769961018034,994,-266,63,85,79,122,0,2,46,128,135,125,161,181,66,82,33,250,3694,290,3678,288,1,1,0,0,0
1769961018134,994,-292,61,87,73,150,22,18,26,68,135,146,138,174,63,86,57,50,3691,290,3678,288,1,1,0,0,0
1769961018236,994,-358,54,94,31,122,20,20,44,50,146,150,144,179,55,93,65,250,3691,290,3678,288,1,1,0,0,0
1769961018364,996,-394,50,98,0,70,18,14,16,84,147,150,142,208,51,98,-2,50,3691,290,3678,288,1,1,0,0,0
1769961018435,994,-418,47,101,32,250,2,0,12,56,151,158,129,155,46,102,2,150,3691,290,3676,288,1,1,0,0,0
1769961018534,994,-390,118,30,18,135,18,32,8,128,133,152,130,176,48,100,5,122,3691,288,3678,288,1,1,0,0,0
1769961018639,996,-356,127,22,64,250,42,36,6,66,139,188,128,160,82,66,59,250,3691,288,3678,288,1,1,0,0,0
1769961018735,946,-312,55,85,84,246,24,8,24,116,155,160,133,173,88,54,73,250,3691,288,3676,288,1,1,0,0,0
1769961018837,902,-298,53,81,87,218,-8,-6,28,122,143,151,177,192,71,72,87,241,3691,288,3676,288,1,1,0,0,0
1769961018962,886,-364,46,86,60,249,12,18,34,142,153,163,202,180,52,82,-14,250,3688,288,3676,288,1,1,0,0,0
1769961019034,884,-418,39,93,-8,85,4,8,14,138,154,163,152,246,44,88,33,174,3688,288,3676,290,1,1,0,0,0
1769961019134,888,-450,35,97,-29,70,12,14,18,82,164,166,155,229,36,95,-27,50,3688,288,3673,290,1,1,0,0,0
1769961019263,890,-424,39,94,-7,100,-2,2,-2,36,157,172,150,196,37,96,-22,70,3688,288,3673,288,1,1,0,0,0
1769961019333,888,-382,44,89,38,200,16,24,2,34,163,175,140,170,40,93,-1,100,3688,288,3673,288,1,1,0,0,0
1769961019433,892,-362,46,87,41,168,6,40,14,72,157,166,135,180,45,88,11,68,3688,288,3673,288,1,1,0,0,0
1769961019561,892,-260,56,77,88,223,-16,-10,26,86,154,168,150,173,50,83,71,240,3688,288,3673,288,1,1,0,0,0
1769961019634,888,0,66,66,155,155,-2,0,48,94,154,176,178,194,63,69,120,190,3686,288,3673,288,1,1,0,0,0
1769961019734,888,66,67,65,119,183,-26,-16,98,118,128,184,201,188,66,66,190,121,3686,288,3673,288,1,1,0,0,0
1769961019865,900,236,76,58,50,77,12,8,80,62,159,168,284,186,69,63,83,136,3686,288,3673,288,1,1,0,0,0
1769961019939,908,328,84,51,50,29,-8,-10,70,88,167,177,294,208,69,63,83,136,3686,290,3673,288,1,1,0,0,0
1769961020033,910,414,94,41,50,-15,24,12,54,36,171,180,296,172,89,47,50,8,3686,290,3673,288,1,1,0,0,0
1769961020170,908,500,106,29,85,-51,12,8,74,20,180,172,271,177,99,36,175,-3,3686,290,3671,288,1,1,0,0,0
1769961020236,912,532,111,24,50,-76,32,4,76,8,188,166,230,157,108,27,100,-54,3683,290,3671,288,1,1,0,0,0
1769961020335,930,598,124,14,190,-61,44,8,38,-14,189,168,214,126,117,19,200,-50,3683,290,3671,288,1,1,0,0,0
1769961020462,-194,686,27,-117,-13,-51,56,6,92,-20,188,158,224,142,127,-14,117,-70,3683,288,3671,288,1,1,0,0,0
1769961020536,-1000,586,-194,-300,-34,-125,16,-16,22,-8,169,133,219,122,-232,-358,17,-50,3683,288,3671,290,1,1,0,0,0
1769961020635,-1000,260,-29,-50,-59,-100,2,-2,12,-16,132,76,148,121,-17,-102,-38,-121,3683,290,3671,290,1,1,0,0,0
1769961020743,-1000,0,-50,-50,-79,-79,18,30,0,-20,101,43,111,91,-30,-30,-79,-79,3683,290,3671,290,1,1,0,0,0
1769961020833,-998,0,-300,-300,-79,-79,6,0,-8,-10,85,78,79,82,-150,-150,-79,-79,3683,290,3673,288,1,1,0,0,0
1769961020934,-1000,0,0,0,-79,-79,6,10,-4,-6,57,39,51,59,-320,-320,-79,-79,3686,290,3673,288,1,1,0,0,0
1769961021034,-998,0,0,0,0,0,42,28,-4,-2,-38,31,28,25,-320,-320,0,0,3686,290,3673,288,1,1,0,0,0
1769961021140,-998,0,0,0,0,0,18,28,0,0,-19,-15,20,-13,0,0,0,0,3686,290,3673,288,1,1,0,0,0
1769961021236,-1000,0,0,0,0,0,12,4,0,0,-8,0,0,-13,0,0,0,0,3686,290,3676,288,1,1,0,0,0
1769961021336,-1000,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,3686,290,3676,288,1,1,0,0,0
1769961021434,-998,0,0,0,0,0,10,4,-2,0,0,0,0,0,0,0,0,0,3686,290,3676,286,1,1,0,0,0
1769961021539,-1000,0,0,0,0,0,10,4,8,-4,0,0,0,0,0,0,0,0,3686,290,3676,288,1,1,0,0,0
1769961021634,-1000,0,0,0,0,0,10,4,-2,0,0,0,0,0,0,0,0,0,3686,290,3676,286,1,1,0,0,0
1769961021735,-856,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,3686,290,3676,286,1,1,0,0,0
1769961021833,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,3686,290,3676,286,1,1,0,0,0
1769961021934,0,0,0,0,0,0,2,-10,0,0,0,0,0,0,0,0,0,0,3686,290,3676,286,1,1,0,0,0
1769961022036,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,3686,290,3678,286,1,1,0,0,0
