ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,vf,tf,vr,tr,gear,low,high,il,ir
1768307092109,-100,0,0,0,0,0,12,6,-4,2,0,0,0,0,3826,357,3826,327,0,0,0,0,0
1768307092202,-100,0,0,0,0,0,22,26,-2,2,0,0,0,0,3826,357,3826,327,0,0,0,0,0
1768307092333,-100,0,0,0,0,0,10,4,8,0,0,0,0,0,3826,358,3826,325,0,0,0,0,0
1768307092405,-100,0,0,0,0,0,10,4,12,-10,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307092505,-100,0,0,0,0,0,12,4,-2,0,0,0,0,0,3826,357,3826,325,0,0,0,0,0
1768307093656,-100,0,0,0,0,0,8,14,0,2,0,0,0,0,3826,357,3826,327,0,0,0,0,0
1768307093662,-100,0,0,0,0,0,-8,-14,0,4,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093671,-100,0,0,0,0,0,12,4,2,0,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093680,-100,0,0,0,0,0,12,6,-2,0,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093687,-100,0,0,0,0,0,12,6,-2,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093693,-100,0,0,0,0,0,12,8,0,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093699,-100,0,0,0,0,0,12,6,0,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093707,-100,0,0,0,0,0,10,6,-6,-2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093713,-100,0,0,0,0,0,10,6,-2,0,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093721,-100,0,0,0,0,0,10,4,-2,0,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093730,-100,0,0,0,0,0,12,4,0,-2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093740,-100,0,0,0,0,0,12,4,-2,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093823,-100,0,0,0,0,0,10,6,0,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307093920,-100,0,0,0,0,0,12,4,-4,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307094023,-100,0,0,0,0,0,12,6,-2,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307094122,-100,0,0,0,0,0,18,26,2,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307094233,-100,0,0,0,0,0,12,6,0,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307094323,-100,0,0,0,0,0,8,14,2,-6,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307094426,-100,0,0,0,0,0,10,4,0,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307094526,-100,0,0,0,0,0,10,22,-2,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307094628,-100,0,0,0,0,0,26,30,0,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307094728,-100,0,0,0,0,0,-8,-12,-2,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307094829,-100,0,0,0,0,0,14,26,8,-8,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307094932,-100,0,0,0,0,0,-4,-14,-2,0,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307095031,-100,0,0,0,0,0,12,6,-2,2,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307095133,-100,0,0,0,0,0,12,4,-2,2,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307095233,-100,0,0,0,0,0,24,30,-4,-6,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307095335,-100,0,0,0,0,0,12,6,0,2,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307095436,-100,0,0,0,0,0,12,6,14,-10,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307095538,-100,0,0,0,0,0,10,4,0,-6,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307095639,-100,0,0,0,0,0,12,6,8,-8,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307095743,-100,0,0,0,0,0,10,6,-2,2,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307095840,-100,0,0,0,0,0,12,6,0,2,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307095942,-100,0,0,0,0,0,12,6,-2,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307096043,-100,0,0,0,0,0,22,26,0,2,0,0,0,0,3826,358,3826,327,0,0,0,0,0
1768307096144,-100,0,0,0,0,0,24,28,-2,0,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307096247,-100,0,0,0,0,0,10,4,-2,2,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307096345,-100,0,0,0,0,0,12,6,-2,0,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307096446,-100,0,0,0,0,0,10,4,-2,2,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307096548,-100,0,0,0,0,0,12,6,0,2,0,0,0,0,3826,358,3824,327,0,0,0,0,0
1768307096649,-100,0,0,0,0,0,12,6,-4,0,0,0,0,0,3826,358,3824,327,0,0,0,0,0
