ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,cmd_fl,cmd_fr,cmd_rl,cmd_rr,vf,tf,vr,tr,gear,low,high,il,ir
1769260840808,-100,0,0,0,0,0,2,-4,12,-2,0,0,0,0,0,0,0,0,3913,186,3908,231,0,0,0,0,0
1769260840934,-100,0,0,0,0,0,6,18,14,-2,0,0,0,0,0,0,0,0,3913,186,3908,231,0,0,0,0,0
1769260841006,-100,0,0,0,0,0,0,-6,12,-2,0,0,0,0,0,0,0,0,3913,186,3908,231,0,0,0,0,0
1769260841101,-100,0,0,0,0,0,4,-2,14,-2,0,0,0,0,0,0,0,0,3913,186,3908,231,0,0,0,0,0
1769260841205,-100,0,0,0,0,0,2,-4,12,-4,0,0,0,0,0,0,0,0,3913,186,3908,231,0,0,0,0,0
1769260841301,-100,0,0,0,0,0,-14,-26,12,-2,0,0,0,0,0,0,0,0,3913,188,3908,231,0,0,0,0,0
1769260841410,-100,0,0,0,0,0,4,18,12,-2,0,0,0,0,0,0,0,0,3913,186,3908,231,0,0,0,0,0
1769260841501,-100,0,0,0,0,0,2,-4,14,-2,0,0,0,0,0,0,0,0,3913,186,3908,231,0,0,0,0,0
1769260841601,-100,0,0,0,0,0,0,-4,14,-2,0,0,0,0,0,0,0,0,3913,188,3908,231,0,0,0,0,0
1769260841701,-100,0,0,0,0,0,2,-4,12,-4,0,0,0,0,0,0,0,0,3911,188,3908,231,0,0,0,0,0
1769260841801,-100,0,0,0,0,0,2,-4,14,-2,0,0,0,0,0,0,0,0,3911,188,3908,231,0,0,0,0,0
1769260841901,-100,0,0,0,0,0,0,-4,14,-2,0,0,0,0,0,0,0,0,3911,188,3908,231,0,0,0,0,0
1769260842025,-100,0,0,0,0,0,6,16,14,-2,0,0,0,0,0,0,0,0,3911,188,3908,231,0,0,0,0,0
1769260842105,-100,0,0,0,0,0,2,10,12,-2,0,0,0,0,0,0,0,0,3911,188,3908,231,0,0,0,0,0
1769260842202,-100,0,0,0,0,0,14,14,12,-4,0,0,0,0,0,0,0,0,3911,188,3908,231,0,0,0,0,0
1769260842301,-100,0,0,0,0,0,2,-4,14,-2,0,0,0,0,0,0,0,0,3911,188,3908,231,0,0,0,0,0
1769260842411,-100,0,0,0,0,0,2,-4,14,-2,0,0,0,0,0,0,0,0,3911,188,3908,231,0,0,0,0,0
1769260842504,-100,0,0,0,0,0,0,-6,12,-2,0,0,0,0,0,0,0,0,3911,188,3908,231,0,0,0,0,0
1769260842602,-100,0,0,0,0,0,6,18,12,-4,0,0,0,0,0,0,0,0,3911,188,3906,231,0,0,0,0,0
1769260842701,-100,0,0,0,0,0,6,18,12,-2,0,0,0,0,0,0,0,0,3911,188,3906,231,0,0,0,0,0
1769260842803,-100,0,0,0,0,0,6,18,12,-2,0,0,0,0,0,0,0,0,3913,188,3906,231,0,0,0,0,0
1769260842901,-100,0,0,0,0,0,-4,6,12,-4,0,0,0,0,0,0,0,0,3913,188,3906,231,0,0,0,0,0
1769260843002,-100,0,0,0,0,0,2,-4,14,-2,0,0,0,0,0,0,0,0,3913,188,3906,231,0,0,0,0,0
1769260843102,-100,0,0,0,0,0,0,-4,12,-2,0,0,0,0,0,0,0,0,3913,188,3906,231,0,0,0,0,0
1769260843201,-100,0,0,0,0,0,2,-4,14,-4,0,0,0,0,0,0,0,0,3913,188,3906,231,0,0,0,0,0
