ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,cmd_fl,cmd_fr,cmd_rl,cmd_rr,vf,tf,vr,tr,gear,low,high,il,ir
1769265153657,0,0,0,0,0,0,8,6,8,0,0,0,0,0,0,0,0,0,3901,255,3901,222,0,0,0,0,0
1769265153754,0,0,0,0,0,0,8,4,12,-4,0,0,0,0,0,0,0,0,3901,255,3901,222,0,0,0,0,0
1769265153854,0,0,0,0,0,0,10,6,0,4,0,0,0,0,0,0,0,0,3901,255,3901,224,0,0,0,0,0
1769265153956,0,0,0,0,0,0,12,4,0,4,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
1769265154054,0,0,0,0,0,0,8,22,0,4,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
1769265154155,0,0,0,0,0,0,10,6,2,-2,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
1769265154255,0,0,0,0,0,0,8,6,4,4,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
1769265154356,0,0,0,0,0,0,10,6,0,4,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
1769265154453,0,0,0,0,0,0,8,6,2,2,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
1769265154554,0,0,0,0,0,0,10,6,4,2,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
1769265154654,0,0,0,0,0,0,8,4,0,4,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
1769265154762,0,0,0,0,0,0,8,4,0,4,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
1769265154857,0,0,0,0,0,0,10,4,0,4,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
1769265154958,0,0,0,0,0,0,-8,-14,2,2,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
1769265155055,-518,0,0,0,0,0,0,-10,0,4,0,0,0,0,0,0,0,0,3901,255,3898,224,0,0,0,0,0
