ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,vf,tf,vr,tr,gear,low,high,il,ir
1767901644849,0,0,0,0,0,0,10,8,4,6,0,0,0,0,3786,231,3791,212,0,0,0,0,0
1767901644951,0,0,0,0,0,0,22,24,4,4,0,0,0,0,3786,231,3791,212,0,0,0,0,0
1767901645051,0,0,0,0,0,0,-8,-14,4,4,0,0,0,0,3786,231,3791,212,0,0,0,0,0
1767901645152,0,0,0,0,0,0,10,6,2,4,0,0,0,0,3786,231,3791,212,0,0,0,0,0
1767901645255,0,0,0,0,0,0,-8,-12,4,4,0,0,0,0,3786,231,3791,212,0,0,0,0,0
1767901645354,0,0,0,0,0,0,22,26,4,4,0,0,0,0,3786,231,3791,212,0,0,0,0,0
1767901645455,0,0,0,0,0,0,10,4,2,6,0,0,0,0,3786,233,3791,212,0,0,0,0,0
1767901645556,0,0,0,0,0,0,10,6,6,4,0,0,0,0,3786,233,3791,212,0,0,0,0,0
1767901645657,0,0,0,0,0,0,-10,-14,4,4,0,0,0,0,3786,233,3791,212,0,0,0,0,0
1767901645758,0,0,0,0,0,0,10,4,2,4,0,0,0,0,3786,233,3791,212,0,0,0,0,0
1767901645859,0,0,0,0,0,0,10,8,4,4,0,0,0,0,3786,233,3791,212,0,0,0,0,0
1767901645960,0,0,0,0,0,0,20,24,4,4,0,0,0,0,3786,233,3791,212,0,0,0,0,0
1767901646061,0,0,0,0,0,0,-8,-14,6,4,0,0,0,0,3786,233,3791,212,0,0,0,0,0
1767901646162,0,0,0,0,0,0,10,6,4,6,0,0,0,0,3786,233,3791,212,0,0,0,0,0
1767901646267,0,0,0,0,0,0,-8,-12,4,4,0,0,0,0,3786,233,3791,212,0,0,0,0,0
1767901646365,0,0,0,0,0,0,10,8,4,6,0,0,0,0,3786,233,3791,212,0,0,0,0,0
1767901646465,0,0,0,0,0,0,-8,-14,4,4,0,0,0,0,3786,233,3788,212,0,0,0,0,0
1767901646566,0,0,0,0,0,0,20,24,4,4,0,0,0,0,3786,233,3788,212,0,0,0,0,0
1767901646667,0,0,0,0,0,0,10,6,2,4,0,0,0,0,3786,233,3788,212,0,0,0,0,0
1767901646770,0,0,0,0,0,0,-8,-12,4,4,0,0,0,0,3786,233,3788,212,0,0,0,0,0
1767901646869,0,0,0,0,0,0,-2,-12,6,6,0,0,0,0,3786,233,3788,212,0,0,0,0,0
1767901646970,0,0,0,0,0,0,10,4,4,4,0,0,0,0,3786,233,3788,212,0,0,0,0,0
1767901647071,0,0,0,0,0,0,10,6,6,4,0,0,0,0,3786,233,3788,212,0,0,0,0,0
1767901647172,0,0,0,0,0,0,22,26,2,4,0,0,0,0,3783,233,3788,212,0,0,0,0,0
1767901647275,0,0,0,0,0,0,-8,-16,4,4,0,0,0,0,3786,233,3788,212,0,0,0,0,0
1767901647374,0,0,0,0,0,0,10,6,4,4,0,0,0,0,3786,233,3788,212,0,0,0,0,0
1767901647479,0,0,0,0,0,0,-8,-14,4,4,0,0,0,0,3786,233,3788,214,0,0,0,0,0
1767901647576,0,0,0,0,0,0,10,4,4,4,0,0,0,0,3786,233,3788,214,0,0,0,0,0
1767901647682,0,0,0,0,0,0,10,6,2,4,0,0,0,0,3786,233,3788,214,0,0,0,0,0
1767901647782,0,0,0,0,0,0,-8,-12,4,6,0,0,0,0,3783,233,3788,212,0,0,0,0,0
1767901647881,0,0,0,0,0,0,-2,-12,4,6,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901647980,0,0,0,0,0,0,10,6,6,6,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901648081,0,0,0,0,0,0,10,4,4,4,0,0,0,0,3786,235,3788,214,0,0,0,0,0
1767901648182,0,0,0,0,0,0,22,26,4,4,0,0,0,0,3786,235,3788,214,0,0,0,0,0
1767901648283,0,0,0,0,0,0,-8,-14,6,4,0,0,0,0,3786,235,3788,214,0,0,0,0,0
1767901648384,0,0,0,0,0,0,24,26,2,4,0,0,0,0,3786,235,3788,214,0,0,0,0,0
1767901648485,0,0,0,0,0,0,-8,-14,4,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901648589,0,0,0,0,0,0,-8,-14,4,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901648687,0,0,0,0,0,0,22,24,2,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901648789,0,0,0,0,0,0,10,6,2,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901648891,0,0,0,0,0,0,12,6,4,6,0,0,0,0,3786,235,3788,214,0,0,0,0,0
1767901648990,0,0,0,0,0,0,-8,-12,6,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901649091,0,0,0,0,0,0,-2,-12,4,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901649192,0,0,0,0,0,0,10,6,2,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901649293,0,0,0,0,0,0,12,6,4,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901649394,0,0,0,0,0,0,22,26,4,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901649497,0,0,0,0,0,0,10,6,4,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901649596,0,0,0,0,0,0,-8,-14,4,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901649701,0,0,0,0,0,0,22,24,4,6,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901649798,0,0,0,0,0,0,10,4,4,4,0,0,0,0,3783,235,3788,214,0,0,0,0,0
1767901649902,0,0,0,0,0,0,10,6,4,4,0,11,0,0,3783,235,3788,214,0,0,0,0,0
1767901650000,0,0,0,0,0,0,10,4,6,4,0,0,7,11,3783,235,3786,214,0,0,0,0,0
1767901650101,0,0,0,0,0,0,-2,-10,2,6,10,9,8,8,3783,235,3788,214,0,0,0,0,0
1767901650206,0,0,0,0,0,0,10,4,2,4,14,14,13,13,3783,235,3786,214,0,0,0,0,0
1767901650303,0,0,0,0,0,0,10,6,6,6,16,16,18,15,3786,235,3788,214,0,0,0,0,0
