ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,vf,tf,vr,tr,gear,low,high,il,ir
1768513344377,-100,0,0,0,0,0,-10,-20,4,6,0,0,0,0,3824,263,3821,245,0,0,0,0,0
1768513344488,-100,0,0,0,0,0,4,-2,4,6,0,0,0,0,3824,263,3819,245,0,0,0,0,0
1768513344561,-100,0,0,0,0,0,2,-2,4,6,0,0,0,0,3824,263,3819,245,0,0,0,0,0
1768513344662,-100,0,0,0,0,0,4,-2,4,6,0,0,0,0,3824,263,3819,245,0,0,0,0,0
1768513344762,-100,0,0,0,0,0,4,-2,6,8,0,0,0,0,3824,263,3819,245,0,0,0,0,0
1768513344981,-100,0,0,0,0,0,2,0,4,6,0,0,0,0,3824,263,3819,245,0,0,0,0,0
1768513345087,-100,0,0,0,0,0,4,0,14,-4,0,0,0,0,3824,263,3821,245,0,0,0,0,0
1768513345091,-100,0,0,0,0,0,4,0,8,-2,0,0,0,0,3824,263,3821,245,0,0,0,0,0
1768513345171,-100,0,0,0,0,0,8,20,8,-2,0,0,0,0,3824,263,3821,245,0,0,0,0,0
1768513345267,-100,0,0,0,0,0,4,-2,4,6,0,0,0,0,3824,263,3821,247,0,0,0,0,0
1768513345368,-100,0,0,0,0,0,4,0,4,6,0,0,0,0,3824,263,3821,245,0,0,0,0,0
1768513345474,-100,0,0,0,0,0,2,-2,12,4,0,0,0,0,3824,263,3821,245,0,0,0,0,0
1768513345571,-100,0,0,0,0,0,4,-2,6,0,0,0,0,0,3824,263,3821,245,0,0,0,0,0
1768513345671,-100,0,0,0,0,0,16,28,6,6,0,0,0,0,3824,263,3821,247,0,0,0,0,0
1768513345780,-100,0,0,0,0,0,4,0,8,6,0,0,0,0,3824,263,3821,247,0,0,0,0,0
1768513345895,-100,0,0,0,0,0,4,0,4,8,0,0,0,0,3824,263,3821,247,0,0,0,0,0
1768513346096,-100,0,0,0,0,0,4,0,2,6,0,0,0,0,3824,263,3821,247,0,0,0,0,0
1768513346113,-100,0,0,0,0,0,4,-2,4,6,0,0,0,0,3824,263,3821,247,0,0,0,0,0
1768513346177,-100,0,0,0,0,0,4,0,4,0,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513346280,-100,0,0,0,0,0,10,22,4,8,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513346378,-100,0,0,0,0,0,4,0,4,8,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513346479,-100,0,0,0,0,0,4,-2,4,8,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513346581,-100,0,0,0,0,0,4,-2,14,4,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513346684,-100,0,0,0,0,0,2,-2,4,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513346782,-100,0,0,0,0,0,4,-2,4,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513346883,-100,0,0,0,0,0,2,-2,4,6,0,0,0,0,3824,265,3819,247,0,0,0,0,0
1768513346985,-100,0,0,0,0,0,4,0,10,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513347088,-100,0,0,0,0,0,4,0,6,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513347186,-100,0,0,0,0,0,4,0,4,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513347288,-100,0,0,0,0,0,-14,-20,16,-4,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513347388,-100,0,0,0,0,0,-14,-22,2,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513347489,-100,0,0,0,0,0,4,-2,14,4,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513347590,-100,0,0,0,0,0,4,-2,2,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513347696,-100,0,0,0,0,0,16,20,4,2,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513347800,-100,0,0,0,0,0,4,-2,2,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513347893,-100,0,0,0,0,0,4,0,4,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513347994,-100,0,0,0,0,0,-14,-20,12,0,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513348095,-100,0,0,0,0,0,14,18,4,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513348196,-100,0,0,0,0,0,4,-2,4,4,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513348297,-100,0,0,0,0,0,4,-2,6,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513348398,-100,0,0,0,0,0,2,0,4,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513348500,-100,0,0,0,0,0,-14,-22,4,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513348601,-100,0,0,0,0,0,4,-2,2,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513348702,-100,0,0,0,0,0,-10,-20,6,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513348803,-100,0,0,0,0,0,4,-2,2,6,0,0,0,0,3824,265,3821,247,0,0,0,0,0
1768513348905,-100,0,0,0,0,0,4,0,2,6,0,0,0,0,3824,265,3824,247,0,0,0,0,0
1768513349008,-100,0,0,0,0,0,4,0,16,4,0,0,0,0,3824,265,3824,247,0,0,0,0,0
1768513349110,-100,0,0,0,0,0,8,20,8,0,0,0,0,0,3824,265,3824,247,0,0,0,0,0
1768513349208,-100,0,0,0,0,0,4,-2,2,6,0,0,0,0,3824,265,3824,247,0,0,0,0,0
1768513349310,-100,0,0,0,0,0,4,0,2,6,0,0,0,0,3824,265,3824,247,0,0,0,0,0
1768513349409,-100,0,0,0,0,0,12,22,4,4,0,0,0,0,3824,265,3824,247,0,0,0,0,0
1768513349510,-100,0,0,0,0,0,4,-2,2,6,0,0,0,0,3824,265,3824,247,0,0,0,0,0
1768513349611,-100,0,0,0,0,0,4,-2,4,6,0,0,0,0,3824,265,3824,247,0,0,0,0,0
