ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,vf,tf,vr,tr,gear,low,high,il,ir
1767972125924,0,0,0,0,0,0,-16,-32,2,6,0,0,0,0,3880,253,3895,272,1,1,0,0,0
1767972126001,0,0,0,0,0,0,0,-12,2,6,0,0,0,0,3880,253,3895,272,1,1,0,0,0
1767972126093,0,0,0,0,0,0,-2,-12,20,0,0,0,0,0,3880,253,3895,272,1,1,0,0,0
1767972126179,0,0,0,0,0,0,-20,-34,2,6,0,0,0,0,3880,253,3895,272,1,1,0,0,0
1767972126278,0,0,0,0,0,0,-2,-14,0,6,0,0,0,0,3880,253,3895,272,1,1,0,0,0
1767972126379,0,0,0,0,0,0,-2,-12,4,6,0,0,0,0,3880,253,3895,272,1,1,0,0,0
1767972126481,0,0,0,0,0,0,-2,-12,2,6,0,0,0,0,3880,253,3895,272,1,1,0,0,0
1767972126582,0,0,0,0,0,0,-2,-12,8,-2,0,0,0,0,3880,253,3895,272,1,1,0,0,0
1767972126682,0,0,0,0,0,0,-12,-28,0,0,0,0,0,0,3880,253,3893,272,1,1,0,0,0
1767972126810,0,0,0,0,0,0,-2,-14,2,8,0,0,0,0,3880,253,3893,272,1,1,0,0,0
1767972126902,0,0,0,0,0,0,-14,-30,2,8,0,0,0,0,3880,253,3893,272,1,1,0,0,0
1767972126988,0,0,0,0,0,0,-2,-14,2,6,0,0,0,0,3880,253,3893,272,1,1,0,0,0
1767972127086,0,0,0,0,0,0,-4,-12,-2,2,0,0,0,0,3880,253,3893,272,1,1,0,0,0
1767972127190,0,0,0,0,0,0,-22,-30,0,6,0,0,0,0,3880,253,3893,272,1,1,0,0,0
1767972127288,0,0,0,0,0,0,-10,-26,4,8,0,0,0,0,3880,253,3893,272,1,1,0,0,0
1767972127389,0,0,0,0,0,0,-14,-30,0,4,0,0,0,0,3878,253,3893,272,1,1,0,0,0
1767972127491,0,0,0,0,0,0,-2,-12,2,8,0,0,0,0,3878,253,3893,272,1,1,0,0,0
1767972127621,0,0,0,0,0,0,-2,-12,2,6,0,0,0,0,3880,253,3893,272,1,1,0,0,0
1767972127710,0,0,0,0,0,0,-2,-12,2,6,0,0,0,0,3880,253,3893,272,1,1,0,0,0
