ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,vf,tf,vr,tr,gear,low,high,il,ir
1767886980995,0,0,0,0,0,0,6,2,4,4,0,0,0,0,3839,210,3837,202,0,0,0,0,0
1767886981095,0,0,0,0,0,0,4,2,4,6,0,0,0,0,3839,210,3837,202,0,0,0,0,0
1767886981193,0,0,0,0,0,0,4,2,4,6,0,0,0,0,3839,210,3834,202,0,0,0,0,0
1767886981304,0,0,0,0,0,0,4,2,6,6,0,0,0,0,3839,212,3834,202,0,0,0,0,0
1767886981399,0,0,0,0,0,0,4,4,8,-2,0,0,0,0,3839,212,3834,202,0,0,0,0,0
1767886981497,0,0,0,0,0,0,-16,-14,4,6,0,0,0,0,3839,212,3834,202,0,0,0,0,0
1767886981598,0,0,0,0,0,0,2,14,2,8,0,0,0,0,3839,212,3834,202,0,0,0,0,0
1767886981700,0,0,0,0,0,0,8,22,6,6,0,0,0,0,3837,212,3834,202,0,0,0,0,0
1767886981802,0,0,0,0,0,0,-12,-20,4,8,0,0,0,0,3837,212,3832,202,0,0,0,0,0
1767886981901,0,0,0,0,0,0,-6,8,12,-2,0,0,0,0,3837,212,3832,202,0,0,0,0,0
1767886982002,0,0,0,0,0,0,4,4,10,-2,0,0,0,0,3837,212,3832,202,0,0,0,0,0
1767886982103,0,0,0,0,0,0,4,4,6,6,0,0,0,0,3834,212,3832,202,0,0,0,0,0
1767886982204,0,0,0,0,0,0,18,24,4,6,0,0,0,0,3834,212,3832,202,0,0,0,0,0
1767886982306,0,0,0,0,0,0,6,2,4,6,0,0,0,0,3834,212,3829,202,0,0,0,0,0
1767886982408,0,0,0,0,0,0,6,2,22,-6,0,0,0,0,3834,212,3829,202,0,0,0,0,0
1767886982508,0,0,0,0,0,0,-4,-12,6,6,0,0,0,0,3834,212,3829,202,0,0,0,0,0
1767886982607,0,0,0,0,0,0,6,4,6,6,0,0,0,0,3834,212,3829,202,0,0,0,0,0
1767886982711,0,0,0,0,0,0,4,4,14,-4,0,0,0,0,3834,212,3829,202,0,0,0,0,0
1767886982810,0,0,0,0,0,0,4,4,6,6,0,0,0,0,3832,212,3829,202,0,0,0,0,0
1767886982911,0,0,0,0,0,0,14,24,6,6,0,0,0,0,3832,212,3829,202,0,0,0,0,0
1767886983011,0,0,0,0,0,0,6,2,4,6,0,0,0,0,3832,212,3829,204,0,0,0,0,0
1767886983112,0,0,0,0,0,0,-16,-16,6,6,0,0,0,0,3832,212,3829,204,0,0,0,0,0
1767886983214,0,0,0,0,0,0,6,2,8,-2,0,0,0,0,3829,212,3829,204,0,0,0,0,0
1767886983314,0,0,0,0,0,0,4,2,4,8,0,0,0,0,3829,212,3826,204,0,0,0,0,0
