ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,cmd_fl,cmd_fr,cmd_rl,cmd_rr,vf,tf,vr,tr,gear,low,high,il,ir
1770133502510,0,0,0,0,0,0,6,2,2,4,0,0,0,0,0,0,0,0,3663,276,3668,257,1,1,0,0,0
1770133502611,0,0,0,0,0,0,-12,-18,2,4,0,0,0,0,0,0,0,0,3663,276,3668,257,1,1,0,0,0
1770133502710,0,0,0,0,0,0,10,20,4,-4,0,0,0,0,0,0,0,0,3663,276,3668,257,1,1,0,0,0
1770133502810,0,0,0,0,0,0,8,2,2,4,0,0,0,0,0,0,0,0,3663,276,3668,257,1,1,0,0,0
1770133502911,0,0,0,0,0,0,8,2,6,6,0,0,0,0,0,0,0,0,3663,278,3668,257,1,1,0,0,0
1770133503012,0,0,0,0,0,0,6,2,4,4,0,0,0,0,0,0,0,0,3660,278,3668,257,1,1,0,0,0
1770133503111,0,0,0,0,0,0,-8,-18,2,4,0,0,0,0,0,0,0,0,3660,278,3668,257,1,1,0,0,0
1770133503210,0,0,0,0,0,0,-2,-14,0,0,0,0,0,0,0,0,0,0,3663,278,3668,257,1,1,0,0,0
1770133503311,0,0,0,0,0,0,6,2,-2,4,0,0,0,0,0,0,0,0,3663,278,3668,257,1,1,0,0,0
1770133503410,0,0,0,0,0,0,-2,4,2,4,0,0,0,0,0,0,0,0,3663,278,3668,257,1,1,0,0,0
1770133503512,0,0,0,0,0,0,20,26,6,-4,0,0,0,0,0,0,0,0,3660,278,3668,257,1,1,0,0,0
1770133503615,0,0,0,0,0,0,8,2,4,4,0,0,0,0,0,0,0,0,3660,278,3668,257,1,1,0,0,0
1770133503712,0,0,0,0,0,0,8,2,0,6,0,0,0,0,0,0,0,0,3660,278,3668,257,1,1,0,0,0
1770133503813,0,0,0,0,0,0,8,2,2,6,0,0,0,0,0,0,0,0,3663,278,3668,257,1,1,0,0,0
1770133503910,0,0,0,0,0,0,-8,-18,4,0,0,0,0,0,0,0,0,0,3663,278,3668,257,1,1,0,0,0
1770133504011,0,0,0,0,0,0,6,2,2,6,0,0,0,0,0,0,0,0,3663,278,3668,257,1,1,0,0,0
1770133504112,0,0,0,0,0,0,8,0,4,-2,0,0,0,0,0,0,0,0,3663,278,3668,257,1,1,0,0,0
1770133504210,0,0,0,0,0,0,10,22,2,4,0,0,0,0,0,0,0,0,3663,278,3668,257,1,1,0,0,0
1770133504310,0,0,0,0,0,0,6,0,4,4,0,0,0,0,0,0,0,0,3660,278,3668,257,1,1,0,0,0
1770133504411,0,0,0,0,0,0,8,4,2,4,0,0,0,0,0,0,0,0,3663,278,3671,257,1,1,0,0,0
1770133504510,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,0,0,0,3660,278,3671,257,1,1,0,0,0
1770133504610,0,0,0,0,0,0,-10,-18,6,4,0,0,0,0,0,0,0,0,3660,278,3671,257,1,1,0,0,0
1770133504710,72,0,13,13,15,15,6,2,2,4,0,0,0,0,0,0,0,0,3660,278,3671,257,1,1,0,0,0
1770133504810,1000,0,120,120,280,280,8,0,4,4,0,0,0,0,99,99,232,232,3660,278,3671,257,1,1,0,0,0
1770133504910,1000,0,120,120,334,137,-28,-32,60,116,10,0,7,99,120,120,349,196,3660,278,3668,257,1,1,0,0,0
1770133505011,998,0,119,119,121,66,-24,-24,136,78,32,32,168,83,120,120,199,95,3660,276,3668,257,1,1,0,0,0
1770133505110,1000,0,120,120,53,88,-30,-14,172,76,43,48,286,74,119,119,121,66,3660,278,3668,257,1,1,0,0,0
1770133505211,1000,0,120,120,50,275,-8,-8,84,54,57,56,311,53,119,119,50,162,3660,278,3665,257,1,1,0,0,0
1770133505311,1000,0,120,120,60,50,-20,-20,84,120,71,64,278,106,119,119,50,94,3658,276,3665,257,1,1,0,0,0
1770133505411,998,0,119,119,90,60,2,-4,70,76,89,81,225,138,119,119,59,50,3658,276,3665,257,1,1,0,0,0
1770133505510,998,0,119,119,50,200,0,-8,42,36,106,104,171,90,120,120,100,137,3658,276,3663,257,1,1,0,0,0
1770133505615,998,0,119,119,150,337,6,2,48,98,113,111,133,113,120,120,50,312,3655,276,3663,257,1,1,0,0,0
1770133505714,998,0,119,119,333,135,-10,-12,72,214,132,137,135,192,120,120,281,278,3655,276,3660,257,1,1,0,0,0
1770133505810,1000,0,120,120,53,62,-20,0,144,144,150,150,253,198,120,120,110,50,3655,276,3660,257,1,1,0,0,0
1770133505910,998,0,119,119,79,219,-6,-14,100,88,158,156,290,158,120,120,50,99,3653,276,3658,257,1,1,0,0,0
1770133506012,-194,0,-71,-71,-68,-20,-10,-10,102,162,169,170,280,177,71,71,49,249,3653,276,3658,257,1,1,0,0,0
1770133506110,-998,0,-159,-159,-119,-119,-36,-40,32,108,178,170,225,229,-327,-327,-128,-105,3653,274,3655,257,1,1,0,0,0
1770133506214,-998,0,-266,-266,-119,-119,-10,-6,-26,-12,127,111,148,150,-309,-309,-119,-119,3653,276,3655,257,1,1,0,0,0
1770133506313,-1000,0,-55,-55,-43,-43,-8,8,-10,-32,113,40,84,115,-186,-186,-119,-119,3653,276,3658,257,1,1,0,0,0
1770133506411,-1000,0,0,0,0,0,-20,-14,6,-6,97,10,31,100,-45,-45,0,0,3653,276,3658,257,1,1,0,0,0
1770133506511,-1000,0,-382,-382,0,0,-2,-14,4,4,84,42,-32,80,0,0,0,0,3655,276,3658,255,1,1,0,0,0
1770133506615,-1000,0,-480,-480,0,0,0,-2,4,4,62,58,10,65,-478,-478,0,0,3655,276,3658,255,1,1,0,0,0
1770133506712,-1000,0,180,180,196,196,88,94,4,2,-55,-77,35,37,215,145,400,400,3653,276,3658,255,1,1,0,0,0
1770133506810,-996,0,179,179,50,50,-10,-8,14,20,-124,-180,22,26,180,180,66,66,3653,276,3658,257,1,1,0,0,0
1770133506911,-996,0,44,0,0,0,24,12,16,24,55,-90,15,38,60,0,150,150,3653,278,3655,257,1,1,0,0,0
1770133507011,-998,0,0,0,0,0,-12,-16,10,8,21,0,21,0,4,0,0,0,3653,278,3658,257,1,1,0,0,0
1770133507111,-996,0,0,0,0,0,-10,-16,-2,2,14,17,17,15,0,0,0,0,3653,278,3658,257,1,1,0,0,0
1770133507212,-996,0,0,0,0,0,-8,-18,4,4,11,12,9,12,0,0,0,0,3653,278,3658,257,1,1,0,0,0
1770133507311,-996,0,0,0,0,0,6,2,8,4,6,0,0,0,0,0,0,0,3653,278,3658,257,1,1,0,0,0
1770133507411,-922,0,0,0,0,0,6,2,8,0,0,0,0,0,0,0,0,0,3653,276,3658,257,1,1,0,0,0
1770133507510,0,0,0,0,0,0,6,0,6,6,0,0,0,0,0,0,0,0,3653,276,3658,257,1,1,0,0,0
1770133507611,-630,0,0,0,0,0,8,0,8,-2,0,0,0,0,0,0,0,0,3653,276,3658,257,1,1,0,0,0
1770133507712,-294,0,0,0,0,0,6,2,2,6,0,0,0,0,0,0,0,0,3653,276,3658,255,1,1,0,0,0
1770133507812,-838,0,0,0,0,0,6,0,2,4,0,0,0,0,0,0,0,0,3653,278,3658,255,1,1,0,0,0
1770133507910,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,0,0,0,3653,278,3658,255,-1,0,0,0,0
1770133508010,0,0,0,0,0,0,6,0,6,-2,0,0,0,0,0,0,0,0,3653,278,3658,255,-1,0,0,0,0
1770133508112,0,0,0,0,0,0,8,0,4,4,0,0,0,0,0,0,0,0,3653,278,3658,255,-1,0,0,0,0
1770133508212,920,0,-110,-110,-257,-257,6,2,18,-6,0,0,0,0,0,0,0,0,3653,278,3658,255,-1,0,0,0,0
1770133508311,1000,0,-120,-120,-196,-196,0,-4,24,24,0,0,0,0,-120,-120,-280,-280,3653,278,3658,255,-1,0,0,0,0
1770133508415,1000,0,-120,-120,-100,-100,-12,-12,56,74,-17,-17,-118,-50,-119,-119,-66,-66,3653,278,3658,257,-1,0,0,0,0
1770133508510,998,0,-119,-119,-50,-50,2,-2,48,34,-42,-33,-151,-42,-119,-119,-100,-100,3653,278,3658,257,-1,0,0,0,0
1770133508610,1000,0,-120,-120,-50,-50,18,26,38,30,-44,-46,-147,-44,-120,-120,-50,-50,3653,278,3655,257,-1,0,0,0,0
1770133508711,998,0,-119,-119,-50,-50,24,28,28,20,-56,-54,-122,-53,-119,-119,-50,-50,3653,278,3655,257,-1,0,0,0,0
1770133508811,998,0,-119,-119,-50,-50,10,6,32,14,-65,-62,-100,-58,-120,-120,-50,-50,3653,278,3655,257,-1,0,0,0,0
1770133508910,998,0,-93,-93,-93,-93,20,10,18,18,-73,-72,-75,-70,-120,-120,-50,-50,3650,278,3655,257,-1,0,0,0,0
1770133509012,998,0,-50,-50,-50,-50,8,2,30,26,-77,-75,-81,-75,-66,-66,-66,-66,3653,276,3655,257,-1,0,0,0,0
1770133509113,998,0,-50,-50,-50,-50,8,2,20,16,-83,-83,-82,-79,-50,-50,-50,-50,3650,276,3655,257,-1,0,0,0,0
1770133509224,998,0,-50,-50,-50,-50,-12,-14,40,10,-86,-83,-84,-81,-50,-50,-50,-50,3650,276,3655,257,-1,0,0,0,0
1770133509312,998,0,-50,-50,-50,-50,-10,-14,22,20,-85,-82,-85,-81,-50,-50,-50,-50,3653,276,3653,257,-1,0,0,0,0
1770133509411,1000,0,-50,-50,-50,-50,-6,-14,18,18,-89,-82,-84,-84,-50,-50,-50,-50,3653,276,3653,259,-1,0,0,0,0
1770133509515,1000,0,-50,-50,-50,-50,8,4,16,20,-89,-84,-86,-83,-50,-50,-50,-50,3653,276,3653,259,-1,0,0,0,0
1770133509614,1000,0,-50,-50,-50,-50,8,4,12,20,-84,-83,-86,-85,-50,-50,-50,-50,3653,276,3653,259,-1,0,0,0,0
1770133509713,1000,0,-50,-50,-50,-50,-4,-12,32,12,-83,-80,-87,-82,-50,-50,-50,-50,3653,276,3653,259,-1,0,0,0,0
1770133509811,998,0,-50,-50,-50,-50,6,2,28,12,-81,-80,-89,-79,-50,-50,-50,-50,3653,276,3653,259,-1,0,0,0,0
1770133509911,998,0,-50,-50,-50,-50,8,4,26,24,-80,-79,-87,-79,-50,-50,-50,-50,3653,276,3653,259,-1,0,0,0,0
1770133510010,1000,0,-50,-50,-50,-50,10,4,24,22,-83,-79,-83,-79,-50,-50,-50,-50,3653,276,3653,259,-1,0,0,0,0
1770133510114,998,0,-50,-50,-50,-50,10,2,24,20,-82,-81,-81,-79,-50,-50,-50,-50,3653,276,3653,259,-1,0,0,0,0
1770133510210,998,0,-50,-50,-50,-50,12,22,24,18,-84,-79,-82,-77,-50,-50,-50,-50,3653,276,3653,259,-1,0,0,0,0
1770133510310,816,0,-50,-50,-50,-50,8,4,18,20,-84,-82,-80,-78,-50,-50,-50,-50,3653,276,3653,259,-1,0,0,0,0
1770133510410,0,0,0,0,0,0,4,2,20,22,-80,-80,-78,-76,0,0,0,0,3653,276,3650,261,-1,0,0,0,0
1770133510513,-978,0,469,469,117,117,4,14,10,8,-78,-72,-73,-71,0,0,54,54,3653,276,3650,261,-1,0,0,0,0
1770133510612,-998,0,482,475,122,117,12,18,-4,2,-63,-62,-66,-58,469,469,119,119,3653,276,3650,259,-1,0,0,0,0
1770133510717,-998,0,-50,-50,-50,-50,120,80,-2,6,113,68,-42,0,-179,-179,-347,-400,3653,276,3653,259,-1,0,0,0,0
1770133510812,-998,0,-50,-50,-50,-50,56,48,2,4,265,166,-18,-19,-50,-50,-50,-50,3653,276,3650,259,-1,0,0,0,0
1770133510917,-996,0,-50,-50,-50,220,-6,-18,2,12,212,107,-9,-22,-50,-50,-50,-50,3653,278,3650,259,-1,0,0,0,0
1770133511011,-996,0,0,0,0,107,8,4,4,4,123,43,0,-43,0,0,0,107,3653,278,3650,257,-1,0,0,0,0
1770133511111,-998,0,-50,-50,-105,-105,6,2,2,8,41,0,0,54,-84,-84,-217,-217,3653,278,3650,257,-1,0,0,0,0
1770133511212,-998,0,0,0,0,0,-10,-16,8,12,0,0,0,-53,0,0,0,43,3653,278,3650,257,-1,0,0,0,0
1770133511311,-996,0,0,0,0,0,18,22,2,6,-11,-10,-9,-34,0,0,0,0,3653,278,3650,257,-1,0,0,0,0
1770133511410,-996,0,0,0,0,0,-12,-16,-2,2,-9,0,-10,0,0,0,0,0,3653,278,3650,257,-1,0,0,0,0
1770133511513,-996,0,0,0,0,0,-2,-12,2,0,0,0,0,0,0,0,0,0,3653,278,3650,257,-1,0,0,0,0
1770133511614,-998,0,0,0,0,0,-10,-18,0,-2,0,0,0,0,0,0,0,0,3653,278,3653,257,-1,0,0,0,0
1770133511713,-998,0,0,0,0,0,6,0,4,-2,0,0,0,0,0,0,0,0,3653,278,3653,257,-1,0,0,0,0
1770133511810,-762,0,0,0,0,0,8,30,0,0,0,0,0,0,0,0,0,0,3653,278,3653,257,-1,0,0,0,0
1770133511911,0,0,0,0,0,0,-8,-18,0,-2,0,0,0,0,0,0,0,0,3653,278,3653,257,-1,0,0,0,0
1770133512010,0,0,0,0,0,0,20,28,0,-2,0,0,0,0,0,0,0,0,3653,278,3653,257,-1,0,0,0,0
