ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,vf,tf,vr,tr,gear,low,high,il,ir
1767815163665,0,0,0,0,0,0,-12,-16,6,4,0,0,0,0,3921,290,3957,271,0,0,0,0,0
1767815163734,0,0,0,0,0,0,-14,-14,4,4,0,0,0,0,3921,292,3957,271,0,0,0,0,0
1767815163835,0,0,0,0,0,0,8,2,20,-10,0,0,0,0,3918,292,3957,271,0,0,0,0,0
1767815163937,0,0,0,0,0,0,8,4,4,4,0,0,0,0,3918,292,3957,271,0,0,0,0,0
1767815164040,0,0,0,0,0,0,-10,-20,4,4,0,0,0,0,3918,292,3957,271,0,0,0,0,0
1767815164138,0,0,0,0,0,0,8,2,20,-10,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815164239,0,0,0,0,0,0,-14,-16,4,2,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815164343,0,0,0,0,0,0,8,0,4,4,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815164443,0,0,0,0,0,0,8,2,4,4,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815164543,0,0,0,0,0,0,-10,-18,14,2,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815164644,0,0,0,0,0,0,8,2,4,4,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815164753,0,0,0,0,0,0,-12,-16,4,4,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815164847,0,0,0,0,0,0,8,2,4,2,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815164954,0,0,0,0,0,0,6,2,4,4,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815165058,0,0,0,0,0,0,8,2,4,4,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815165152,0,0,0,0,0,0,-14,-16,4,4,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815165250,0,0,0,0,0,0,6,2,4,2,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815165358,0,0,0,0,0,0,8,2,0,4,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815165456,0,0,0,0,0,0,-8,-18,4,4,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815165553,0,0,0,0,0,0,8,2,4,2,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815165654,0,0,0,0,0,0,-12,-16,0,-2,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815165754,0,0,0,0,0,0,6,2,4,4,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815165856,0,0,0,0,0,0,8,2,10,-6,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815165957,0,0,0,0,0,0,-8,-18,2,-2,0,0,0,0,3918,292,3957,272,0,0,0,0,0
1767815166058,0,0,0,0,0,0,8,2,-2,4,0,0,0,0,3916,292,3957,272,0,0,0,0,0
1767815166164,0,0,0,0,0,0,8,2,4,4,0,0,0,0,3916,292,3957,272,0,0,0,0,0
1767815166260,0,0,0,0,0,0,-12,-14,2,4,0,0,0,0,3916,292,3957,272,0,0,0,0,0
1767815166361,0,0,0,0,0,0,8,2,2,2,0,0,0,0,3916,292,3957,272,0,0,0,0,0
1767815166463,0,0,0,0,0,0,8,4,4,4,0,0,0,0,3916,292,3957,272,0,0,0,0,0
1767815166564,0,0,0,0,0,0,-12,-20,4,4,0,0,0,0,3916,292,3957,272,0,0,0,0,0
1767815166666,0,0,0,0,0,0,8,2,4,4,0,0,0,0,3916,292,3957,272,0,0,0,0,0
1767815166765,0,0,0,0,0,0,-14,-14,8,4,0,0,0,0,3916,292,3957,272,0,0,0,0,0
1767815166866,0,0,0,0,0,0,6,0,4,4,0,0,0,0,3916,292,3957,272,0,0,0,0,0
1767815166967,0,0,0,0,0,0,6,2,4,4,0,0,0,0,3916,292,3957,272,0,0,0,0,0
1767815167072,0,0,0,0,0,0,-10,-20,2,4,0,0,0,0,3916,292,3959,272,0,0,0,0,0
1767815167169,0,0,0,0,0,0,-12,-16,0,0,0,0,0,0,3916,292,3959,272,0,0,0,0,0
1767815167271,0,0,0,0,0,0,8,2,4,4,0,0,0,0,3916,292,3959,272,0,0,0,0,0
1767815167375,0,0,0,0,0,0,8,2,2,2,0,0,0,0,3916,292,3959,272,0,0,0,0,0
1767815167477,0,0,0,0,0,0,-8,-18,4,4,0,0,0,0,3916,292,3959,272,0,0,0,0,0
1767815167573,0,0,0,0,0,0,8,2,2,4,0,0,0,0,3916,292,3959,272,0,0,0,0,0
1767815167674,0,0,0,0,0,0,-12,-16,6,0,0,0,0,0,3916,292,3959,272,0,0,0,0,0
1767815167775,0,0,0,0,0,0,8,2,4,4,0,0,0,0,3916,294,3959,272,0,0,0,0,0
1767815167877,0,0,0,0,0,0,10,4,4,4,0,0,0,0,3916,294,3957,272,0,0,0,0,0
1767815167987,0,0,0,0,0,0,-8,-18,4,4,0,0,0,0,3916,294,3959,272,0,0,0,0,0
1767815168111,0,0,0,0,0,0,6,2,12,-4,0,0,0,0,3916,294,3959,272,0,0,0,0,0
1767815168200,0,0,0,0,0,0,-12,-16,4,2,0,0,0,0,3916,294,3959,272,0,0,0,0,0
1767815168310,0,0,0,0,0,0,-12,-14,4,4,0,0,0,0,3916,294,3959,272,0,0,0,0,0
1767815168432,0,0,0,0,0,0,8,2,4,4,0,0,0,0,3916,294,3957,272,0,0,0,0,0
1767815168482,0,0,0,0,0,0,8,2,4,4,0,0,0,0,3916,294,3957,272,0,0,0,0,0
1767815168582,0,0,0,0,0,0,-10,-20,2,4,0,0,0,0,3916,294,3957,272,0,0,0,0,0
1767815168691,-726,0,0,0,0,0,6,2,4,4,0,0,0,0,3916,294,3957,274,0,0,0,0,0
