ts_ms,t,s,tq_fl,tq_fr,tq_rl,tq_rr,cu_fl,cu_fr,cu_rl,cu_rr,rpm_fl,rpm_fr,rpm_rl,rpm_rr,vf,tf,vr,tr,gear,low,high,il,ir
1768141999766,0,0,0,0,0,0,2,2,6,8,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768141999867,0,0,0,0,0,0,4,2,0,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768141999981,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142000066,0,0,0,0,0,0,4,0,6,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142000294,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142000302,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142000369,0,0,0,0,0,0,4,2,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142000471,0,0,0,0,0,0,4,2,6,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142000581,0,0,0,0,0,0,-10,-16,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142000689,0,0,0,0,0,0,4,4,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142000774,0,0,0,0,0,0,4,2,0,8,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142000883,0,0,0,0,0,0,-12,-18,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142000979,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142001077,0,0,0,0,0,0,-10,-16,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142001203,0,0,0,0,0,0,4,2,4,12,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142001294,0,0,0,0,0,0,-12,-18,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142001382,0,0,0,0,0,0,4,2,4,12,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142001484,0,0,0,0,0,0,-12,-16,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142001583,0,0,0,0,0,0,2,2,4,12,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142001682,0,0,0,0,0,0,2,2,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142001783,0,0,0,0,0,0,2,0,6,8,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142001884,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142001988,0,0,0,0,0,0,2,2,12,2,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142002086,0,0,0,0,0,0,4,4,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142002187,0,0,0,0,0,0,2,2,2,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142002289,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142002391,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142002492,0,0,0,0,0,0,4,2,2,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142002604,0,0,0,0,0,0,-12,-16,2,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142002698,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142002793,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142002895,0,0,0,0,0,0,-12,-18,12,2,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142003023,0,0,0,0,0,0,4,2,2,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142003096,0,0,0,0,0,0,-12,-18,4,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142003196,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142003299,0,0,0,0,0,0,-12,-18,6,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142003401,0,0,0,0,0,0,4,2,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142003501,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142003601,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142003703,0,0,0,0,0,0,4,4,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142003804,0,0,0,0,0,0,2,2,2,8,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142003904,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142004005,0,0,0,0,0,0,2,2,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142004106,0,0,0,0,0,0,4,2,4,8,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142004207,0,0,0,0,0,0,2,2,2,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142004310,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142004409,0,0,0,0,0,0,-12,-18,4,10,0,0,0,0,3959,229,3954,257,1,1,0,0,0
1768142004510,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142004615,0,0,0,0,0,0,-12,-18,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142004717,0,0,0,0,0,0,2,2,2,8,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142004815,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142004914,0,0,0,0,0,0,-12,-18,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142005030,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142005120,0,0,0,0,0,0,-12,-18,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142005217,0,0,0,0,0,0,4,2,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142005318,0,0,0,0,0,0,-12,-18,4,8,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142005419,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142005524,0,0,0,0,0,0,4,2,4,12,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142005624,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142005722,0,0,0,0,0,0,4,2,4,8,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142005823,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142005924,0,0,0,0,0,0,4,4,10,2,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142006024,0,0,0,0,0,0,2,2,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142006126,0,0,0,0,0,0,2,2,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142006230,0,0,0,0,0,0,2,2,4,12,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142006328,0,0,0,0,0,0,4,4,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142006430,0,0,0,0,0,0,-10,-16,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142006530,0,0,0,0,0,0,2,4,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142006631,0,0,0,0,0,0,-12,-18,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142006732,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142006833,0,0,0,0,0,0,2,2,10,2,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142006934,0,0,0,0,0,0,-10,-18,2,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142007043,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142007136,0,0,0,0,0,0,-14,-18,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142007239,0,0,0,0,0,0,4,4,4,12,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142007338,0,0,0,0,0,0,2,2,2,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142007440,0,0,0,0,0,0,4,2,2,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142007540,0,0,0,0,0,0,2,4,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142007642,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142007743,0,0,0,0,0,0,4,2,0,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142007843,0,0,0,0,0,0,2,2,2,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142007945,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142008045,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142008147,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142008247,0,0,0,0,0,0,2,2,2,12,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142008388,0,0,0,0,0,0,2,2,2,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142008452,0,0,0,0,0,0,-12,-18,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142008550,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142008678,0,0,0,0,0,0,-12,-18,2,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142008753,0,0,0,0,0,0,4,2,6,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142008871,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142008988,0,0,0,0,0,0,-10,-16,6,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142009056,0,0,0,0,0,0,4,4,2,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142009157,0,0,0,0,0,0,-10,-16,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142009279,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142009360,0,0,0,0,0,0,2,4,6,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142009460,0,0,0,0,0,0,2,2,6,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142009578,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142009662,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142009764,0,0,0,0,0,0,4,4,4,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142009882,0,0,0,0,0,0,2,2,12,2,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142009986,0,0,0,0,0,0,2,4,0,10,0,0,0,0,3962,229,3954,255,1,1,0,0,0
1768142010091,0,0,0,0,0,0,2,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142010194,0,0,0,0,0,0,4,4,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142010293,0,0,0,0,0,0,-10,-16,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
1768142010502,0,0,0,0,0,0,4,2,4,10,0,0,0,0,3959,229,3954,255,1,1,0,0,0
